,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
137832,42e2952a0280336eaed618f9ad4171cbb8d5ad81,128.186448,-3.6875,7.0,ID.MA.AM,97123.0,16-06-21,00:12:28,3252,0.999,green
31234,baa0dfbdc60a983d8d04950d779f06c6d64ae191,128.17819,-3.6991,9.0,ID.MA.AM,97126.0,16-06-21,00:12:29,82,1.0,green
54866,0ed6cba4475d3c353164c4f4f32a6dbc12968d23,128.22682,-3.68417,10.0,ID.MA.AM,97128.0,16-06-21,00:12:55,372,1.0,green
171920,4be0e227df82ac83fe85a9c24c05c774bb487072,128.194223,-3.693693,8.0,ID.MA.AM,97121.0,16-06-21,00:12:56,202,0.999,green
664319,0e901d8c1fcccd14eaaba6904cc57f2e6ad839db,128.69813,-3.423423,12.0,,,16-06-21,00:13:11,1,0.999,green
149582,f6efc10cb20976ab6e111fd8a2b1f2ddaa8c4fc4,128.52437,-3.60362,5.0,ID.MA.MT,97545.0,16-06-21,00:13:13,158,1.0,green
664320,24a60f1965720bf1c5a37c0575596aa5efc80697,128.243588,-3.626428,9.0,ID.MA.AM,97215.0,16-06-21,00:13:18,2,0.999,green
149583,f6efc10cb20976ab6e111fd8a2b1f2ddaa8c4fc4,128.52439,-3.60361,5.0,ID.MA.MT,97545.0,16-06-21,00:13:24,158,0.999,green
3132,c4b84290951f9b705673694d5b73cc7130b9d539,129.92834,-2.98195,5.0,ID.MA.MT,97544.0,16-06-21,00:13:33,459,0.999,green
3133,c4b84290951f9b705673694d5b73cc7130b9d539,129.92832,-2.98194,5.0,ID.MA.MT,97544.0,16-06-21,00:13:44,459,1.0,green
66707,11c6d72297b7b434de313514b8db336b52548bdd,128.19422,-3.6937,9.0,ID.MA.AM,97121.0,16-06-21,00:14:01,234,1.0,green
170293,31156368c9966fd40cd7caf0536d3375b6c48b7f,128.220024,-3.621621,17.0,ID.MA.AM,97217.0,16-06-21,00:14:11,154,0.999,green
664325,66b08c9c195b8374fdea561d97bfb0ef5881a8ad,128.19443,-3.55691,12.0,ID.MA.MT,97543.0,16-06-21,00:14:11,3,1.0,green
664326,66b08c9c195b8374fdea561d97bfb0ef5881a8ad,128.194434,-3.556908,12.0,ID.MA.MT,97543.0,16-06-21,00:14:22,3,0.999,green
138510,15b2ad170a728427d7934448d8f7d375d917f090,128.480228,-3.517247,5.0,ID.MA.MT,,16-06-21,00:14:37,264,1.0,green
138511,15b2ad170a728427d7934448d8f7d375d917f090,128.48021,-3.51724,5.0,ID.MA.MT,,16-06-21,00:14:47,264,0.999,green
66708,11c6d72297b7b434de313514b8db336b52548bdd,128.19424,-3.6937,9.0,ID.MA.AM,97121.0,16-06-21,00:14:52,234,1.0,green
626873,ae64a4c7ef988419a8181eeb05331dffed63ef80,128.194223,-3.693693,13.0,ID.MA.AM,97121.0,16-06-21,00:15:02,74,0.999,green
172610,90dedec5a26b69a7884579b7c3b4a96d75bb90f9,128.17877,-3.71172,5.0,ID.MA.AM,97116.0,16-06-21,00:15:05,124,1.0,green
626874,ae64a4c7ef988419a8181eeb05331dffed63ef80,128.19422,-3.6937,5.0,ID.MA.AM,97121.0,16-06-21,00:15:06,74,0.999,green
155171,b155d26f7395eae899ee241bcf1b5f5df64a333d,128.189044,-3.657657,13.0,ID.MA.AM,97223.0,16-06-21,00:15:06,232,1.0,green
550566,a36851dc0f717dca3295c89ebe3836b978e246e1,128.70195,-3.59064,7.0,ID.MA.MT,97546.0,16-06-21,00:15:44,16,1.0,green
172611,90dedec5a26b69a7884579b7c3b4a96d75bb90f9,128.17877,-3.71171,5.0,ID.MA.AM,97116.0,16-06-21,00:15:50,124,0.999,green
626875,ae64a4c7ef988419a8181eeb05331dffed63ef80,128.19421,-3.6937,5.0,ID.MA.AM,97121.0,16-06-21,00:15:56,74,0.999,green
171921,4be0e227df82ac83fe85a9c24c05c774bb487072,128.194223,-3.693693,7.0,ID.MA.AM,97121.0,16-06-21,00:16:15,202,0.999,green
171922,4be0e227df82ac83fe85a9c24c05c774bb487072,128.19423,-3.6937,6.0,ID.MA.AM,97121.0,16-06-21,00:16:20,202,1.0,green
664331,8001b88b8db2b4a621748f383befc5a92fe044f9,128.160707,-3.703072,6.0,ID.MA.AM,97117.0,16-06-21,00:16:37,2,1.0,green
664332,8001b88b8db2b4a621748f383befc5a92fe044f9,128.1607,-3.70307,6.0,ID.MA.AM,97117.0,16-06-21,00:16:47,2,0.999,green
658191,79679bc4a1d3a388fb7926946188a60c40562bdc,128.23593,-3.627906,11.0,ID.MA.AM,97216.0,16-06-21,00:16:57,241,0.999,green
156687,4ba37ff33960043064a5e56dca8e31b3f3bed97b,128.18882,-3.69379,7.0,ID.MA.AM,97121.0,16-06-21,00:16:59,278,0.999,green
658192,79679bc4a1d3a388fb7926946188a60c40562bdc,128.235936,-3.627887,7.0,ID.MA.AM,97216.0,16-06-21,00:16:59,241,1.0,green
658193,79679bc4a1d3a388fb7926946188a60c40562bdc,128.235936,-3.627887,4.0,ID.MA.AM,97216.0,16-06-21,00:17:01,241,0.999,green
