,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
108,28b627c27c724712fe7e858f8851d2d4c9826ade,128.189536,-3.621129,15.0,ID.MA.AM,97221.0,16-06-21,15:05:03,1230,1.0,green
109,d22121e8d64516109c4038112495a59393fc9569,128.361311,-3.333333,5.0,ID.MA.SB,97566.0,16-06-21,15:05:05,12,0.999,green
110,6d03197c4802bda827300c6d4eae78d5c603bdb0,128.464786,-3.515966,5.0,ID.MA.MT,97545.0,16-06-21,15:05:06,2,1.0,green
111,2b16a9284034b61aac92926f178fde7dde5da3d3,128.356151,-3.328756,23.0,ID.MA.SB,97566.0,16-06-21,15:05:08,1411,0.999,green
112,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35616,-3.328756,4.0,ID.MA.SB,97566.0,16-06-21,15:05:09,1411,0.999,green
113,c73b1ae248d2e99e118e55c3ad09fe2badeb0810,129.71137,-2.84951,7.0,ID.MA.MT,97544.0,16-06-21,15:05:09,71,1.0,green
114,f23ebc8f43a3f27ddd4fc415d57d6c763c5dbdab,130.134234,-3.030991,5.0,ID.MA.ST,97582.0,16-06-21,15:05:10,113,1.0,green
115,f9062571defe5d9865cd56deab4cbd6ce1434474,128.18832,-3.64986,4.0,ID.MA.AM,97228.0,16-06-21,15:05:11,136,0.999,green
116,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35616,-3.328756,4.0,ID.MA.SB,97566.0,16-06-21,15:05:14,1411,1.0,green
117,572e5e889565a29025ff479d1083f244e00f5959,128.20334,-3.072599,20.0,ID.MA.SB,97561.0,16-06-21,15:05:15,96,0.999,green
119,c376bb286f98a79fa35c4f8477903b84c962050e,128.174938,-3.699018,6.0,ID.MA.AM,97112.0,16-06-21,15:05:25,1,0.999,green
118,a737d242109d76f8aafc9c673c51cf6b9bf2374e,129.5596,-3.401627,7.0,ID.MA.MT,97544.0,16-06-21,15:05:25,73,1.0,green
120,124cc4b03c126b57dd413a5056fd8786084b8569,128.2845,-3.693693,7.0,ID.MA.AM,97136.0,16-06-21,15:05:35,814,1.0,green
121,6d03197c4802bda827300c6d4eae78d5c603bdb0,128.46478,-3.515966,10.0,ID.MA.MT,97545.0,16-06-21,15:05:36,2,0.999,green
122,09d651945a48923383fd4b64c0f91acf4a6b7684,128.190298,-3.687035,6.0,ID.MA.AM,97122.0,16-06-21,15:05:50,2666,1.0,green
123,94c10d1e59b66b2f671c62568db89ad1f75af702,127.942331,-3.364255,17.0,ID.MA.SB,97571.0,16-06-21,15:05:50,19,0.999,green
124,f7b8aeec3b66d7dc560498d4b04e43e2595f4cda,128.191754,-3.649925,7.0,ID.MA.AM,97228.0,16-06-21,15:05:51,51,0.999,green
125,c41d285491b071d63f98069913cc2471366a00e5,128.21077,-3.633209,9.0,ID.MA.AM,97221.0,16-06-21,15:05:55,68,1.0,green
126,274d0909b89d0558017b8f350bf82d8da666b2f0,128.85406,-3.21958,6.0,ID.MA.MT,97544.0,16-06-21,15:05:56,2,0.999,green
127,0d62f4bb7552044b83de7f3711b202ee04d9884f,128.19423,-3.693693,15.0,ID.MA.AM,97121.0,16-06-21,15:05:57,348,1.0,green
128,f7b8aeec3b66d7dc560498d4b04e43e2595f4cda,128.19176,-3.649925,6.0,ID.MA.AM,97228.0,16-06-21,15:06:00,51,0.999,green
129,c4a2557f529465830145c548d837696a0a905f41,128.170989,-3.657657,4.0,ID.MA.AM,97223.0,16-06-21,15:06:05,702,0.999,green
130,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35616,-3.328756,3.0,ID.MA.SB,97566.0,16-06-21,15:06:07,1411,1.0,green
131,9c4cd857f61ceaf8f39ad279a479f6dbcf3b2a06,128.25613,-3.621621,9.0,ID.MA.AM,97214.0,16-06-21,15:06:08,120,1.0,green
132,10acf40107d026fea7bcde5ff6ee4a0b3b5679f6,128.330226,-3.58758,25.0,ID.MA.MT,97544.0,16-06-21,15:06:08,8,0.999,green
133,9323bad2c46dc1e089bfb1c8b291511c993022a9,128.970263,-3.297297,15.0,ID.MA.MT,97544.0,16-06-21,15:06:11,64,0.999,green
134,86479422e600a4789f876e0b00b76529e71b329a,128.17529,-3.71256,17.0,ID.MA.AM,97116.0,16-06-21,15:06:14,20,0.999,green
135,a3c82994aad8bf892d27ad6f5632e4cdaccd74ff,128.138833,-3.06054,10.0,ID.MA.SB,97561.0,16-06-21,15:06:17,2,0.999,green
136,10acf40107d026fea7bcde5ff6ee4a0b3b5679f6,128.33022,-3.58758,12.0,ID.MA.MT,97544.0,16-06-21,15:06:18,8,1.0,green
137,c41d285491b071d63f98069913cc2471366a00e5,128.21077,-3.63321,13.0,ID.MA.AM,97221.0,16-06-21,15:06:20,68,0.999,green
138,2b16a9284034b61aac92926f178fde7dde5da3d3,128.356151,-3.328756,15.0,ID.MA.SB,97566.0,16-06-21,15:06:20,1411,1.0,green
139,f3e0c9fb0d89d94745218f9398998cfebd308cc6,128.177139,-3.699989,37.0,ID.MA.AM,97111.0,16-06-21,15:06:22,3,0.999,green
140,2b16a9284034b61aac92926f178fde7dde5da3d3,128.356151,-3.328756,5.0,ID.MA.SB,97566.0,16-06-21,15:06:25,1411,1.0,green
141,a3c82994aad8bf892d27ad6f5632e4cdaccd74ff,128.13883,-3.06053,10.0,ID.MA.SB,97561.0,16-06-21,15:06:27,2,0.999,green
142,c41d285491b071d63f98069913cc2471366a00e5,128.210772,-3.633209,12.0,ID.MA.AM,97221.0,16-06-21,15:06:31,68,1.0,green
143,26e6ac22a806636151745aa062bfca534c6faeba,129.633846,-3.309396,4.0,ID.MA.MT,97544.0,16-06-21,15:06:36,3,1.0,green
144,1651b9e6ed5050bfc33a482c5ee5180656e12814,128.227738,-3.675675,10.0,ID.MA.AM,97212.0,16-06-21,15:06:38,62,0.999,green
145,4216734a643e2dfeb14b703f98ce1ab5472f6e83,127.960203,-3.009009,6.0,ID.MA.SB,,16-06-21,15:06:40,129,0.999,green
146,8a812a2584130f0db9231d35eaf0e39265972a8b,128.15866,-3.70741,8.0,ID.MA.AM,97117.0,16-06-21,15:06:42,86,1.0,green
147,c41d285491b071d63f98069913cc2471366a00e5,128.21077,-3.63321,10.0,ID.MA.AM,97221.0,16-06-21,15:06:52,68,0.999,green
148,f7b8aeec3b66d7dc560498d4b04e43e2595f4cda,128.19175,-3.64992,6.0,ID.MA.AM,97228.0,16-06-21,15:06:55,51,1.0,green
149,bad8f80b023d09edd24be0cd7887296d4458ad36,128.194223,-3.693693,13.0,ID.MA.AM,97121.0,16-06-21,15:06:57,3,0.999,green
150,fc756a01416ab4ef7963e0e3ebf3d5256409b870,128.19142,-3.692256,19.0,ID.MA.AM,97121.0,16-06-21,15:06:58,2,1.0,green
151,c41d285491b071d63f98069913cc2471366a00e5,128.210772,-3.633209,21.0,ID.MA.AM,97221.0,16-06-21,15:07:00,68,0.999,green
152,09d651945a48923383fd4b64c0f91acf4a6b7684,128.19029,-3.68705,7.0,ID.MA.AM,97122.0,16-06-21,15:07:03,2666,1.0,green
153,c3313075b4589ffc981210b93607e7ad7bd795a7,128.328191,-3.607665,8.0,ID.MA.MT,97544.0,16-06-21,15:07:07,113,1.0,green
154,c41d285491b071d63f98069913cc2471366a00e5,128.21077,-3.633209,2.0,ID.MA.AM,97221.0,16-06-21,15:07:13,68,1.0,green
155,4e1a7bffa824a38e5e01bc544bfa879acf721666,128.1778,-3.584882,10.0,ID.MA.MT,97543.0,16-06-21,15:07:13,1386,0.999,green
156,4e1a7bffa824a38e5e01bc544bfa879acf721666,128.1778,-3.584882,2.0,ID.MA.MT,97543.0,16-06-21,15:07:15,1386,1.0,green
157,35e996083341dc7cace8a0aea1b885e4154996ad,128.17616,-3.6937,8.0,ID.MA.AM,,16-06-21,15:07:17,104,1.0,green
158,4e1a7bffa824a38e5e01bc544bfa879acf721666,128.1778,-3.584882,9.0,ID.MA.MT,97543.0,16-06-21,15:07:18,1386,0.999,green
159,2b16a9284034b61aac92926f178fde7dde5da3d3,128.35616,-3.328756,13.0,ID.MA.SB,97566.0,16-06-21,15:07:19,1411,1.0,green
160,c41d285491b071d63f98069913cc2471366a00e5,128.21077,-3.63321,10.0,ID.MA.AM,97221.0,16-06-21,15:07:20,68,0.999,green
161,fb57a96e3d05a92cc974991a9b5951f9120c2001,128.23009,-3.627346,11.0,ID.MA.AM,97216.0,16-06-21,15:07:22,28,0.999,green
162,4e1a7bffa824a38e5e01bc544bfa879acf721666,128.1778,-3.584882,6.0,ID.MA.MT,97543.0,16-06-21,15:07:26,1386,0.999,green
